id,name,sku,normalizedName,isActive,procurementProductId,procurementProductSku,historicalOrderCount,historicalQuantity,historicalAmount,bases,colours,finishes,jsonMatchName,jsonSapCodes,jsonHasPrice,classification,reason
cms5og5jc01o60jog6eoguxua,PAINT STRIPPER,,paint stripper,true,cmmky8a4a000109larfsc96zw,Paint Stripper,1,1,165.22,,,,,,No,D,"Generic hardware/consumable item, likely not a real Plascon-branded product in this price list."
cms5veptz03yoqopvip49ujes,POLYFILLA EXTERIOR,,polyfilla exterior,true,cmmkufrlo004hg8plvv75yiys,10 19 03,1,1,155.57,,,,Polycell Polyfilla Exterior,101903-2251 | 101903-7241 | 101903-7246,Yes,A-DEFERRED,"Matched to ""Polycell Polyfilla Exterior"" with real price data, but seeding is deferred (e.g. POLYFILLA's null unitSize) or not yet approved."
cms5venu803ynqopvx226khex,POLYFILLA INTERIOR,,polyfilla interior,true,cmmkufrz8004jg8pl74kylzsb,10 10 02,3,10,1039.36,,,,Polycell Polyfilla Interior,101002-2251 | 101002-7241 | 101002-7246,Yes,A-DEFERRED,"Matched to ""Polycell Polyfilla Interior"" with real price data, but seeding is deferred (e.g. POLYFILLA's null unitSize) or not yet approved."
cmrutfaa10016x0pvxjf5jqzc,Plascoguard 75 - PEX75,,PLASCOGUARD 75,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt9300b000mqopv54w1rn7m,Plascoprime Red Oxide Primer - UC170,,PLASCOPRIME RED OXIDE PRIMER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrvx0001800pv5mtn5f6p,Plascothane 9000 - PRU/PRT,,PLASCOTHANE 9000,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrwpd001a00pvb84y25q0,Plascotuff 3500 - PEX3500,,PLASCOTUFF 3500,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutfao60017x0pvmfousn6l,Plascotuff 4000 HB Floor - FHB4000,,PLASCOTUFF 4000 HB FLOOR,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutfb2a0018x0pvbhiwa234,Plascotuff Coal Tar Pitch Coating - EPD100,,PLASCOTUFF COAL TAR PITCH COATING,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt930t5000oqopva7llm1y6,Plastertex,,PLASTERTEX,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt9317j000pqopv917xtal5,Plastertex Primer,,PLASTERTEX PRIMER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutf8o80012x0pvb779dpy5,Polygalv Zinc Rich Primer - SN176,,POLYGALV ZINC RICH PRIMER,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrusrqsc000v00pve1u974dt,Professional Aquarista - PHB800,,PROFESSIONAL AQUARISTA,true,,,0,0,0.00,White,,,Prof. Aquarista Tint Base,THB001000-0020,Yes,A-DEFERRED,"Matched to ""Prof. Aquarista Tint Base"" with real price data, but seeding is deferred (e.g. POLYFILLA's null unitSize) or not yet approved."
cmrt93371000uqopva9al8snr,Professional Gloss Enamel - TGE,,PROFESSIONAL GLOSS ENAMEL,true,,,0,0,0.00,,,Gloss Enamel,Prof. Gloss Enamel,PSB000800-0005 | PSB000800-0020,Yes,A-DEFERRED,"Matched to ""Prof. Gloss Enamel"" with real price data, but seeding is deferred (e.g. POLYFILLA's null unitSize) or not yet approved."
cmrusrsrb001000pvzb0z2tgt,Professional Hygiene Low Sheen - PH1,,PROFESSIONAL HYGIENE LOW SHEEN,true,,,0,0,0.00,White,,Low Sheen,Prof. Hygiene Low Sheen,PHL000001-0020,Yes,A-DEFERRED,"Matched to ""Prof. Hygiene Low Sheen"" with real price data, but seeding is deferred (e.g. POLYFILLA's null unitSize) or not yet approved."
cmrt9356g000zqopvmfjpq4oc,Road Marking Paint - TP,,ROAD MARKING PAINT,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt935kr0010qopvacrth3hm,Roofguard,,ROOFGUARD,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt935z30011qopvsocutstp,Skim Coat Exterior - PSE1,,SKIM COAT EXTERIOR,true,,,0,0,0.00,Off-White,,Smooth Matt,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutf15o000jx0pvaqao9he1,Skim Coat Interior - PSI1,,SKIM COAT INTERIOR,true,,,0,0,0.00,Off-White,,Smooth Matt,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cms60seb708hjqopvnubqmyuu,TAPE MASKING,,tape masking,true,cmmlorlgk000009jsnjns26xf,Tape,1,36,657.36,,,,,,No,D,"Generic hardware/consumable item, likely not a real Plascon-branded product in this price list."
cms60e00j0853qopvqukbowh9,WOODFILLER,,woodfiller,true,cmmkufj5f003cg8plg8kxiau2,90 25 01,1,1,95.65,,,,,,No,D,"Generic hardware/consumable item, likely not a real Plascon-branded product in this price list."
cmrusrpzz000t00pvi6jztef2,Waterbase Gypsum Sealer - PGS1,,WATERBASE GYPSUM SEALER,true,,,0,0,0.00,White,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutf34v000ox0pvzqgfvejc,Woodcare Sunproof Varnish - WSP,,WOODCARE SUNPROOF VARNISH,true,,,0,0,0.00,Clear,,Gloss | Suede,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrutf4pi000sx0pv02ide0i2,Woodcare Ultra Varnish - X,,WOODCARE ULTRA VARNISH,true,,,0,0,0.00,Clear,,Gloss | Suede,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
cmrt939y5001bqopvr9bkrbrw,Woodguard Timber Varnish,,WOODGUARD TIMBER VARNISH,true,,,0,0,0.00,,,,,,No,C,No corresponding entry found anywhere in the authoritative 2026 price list.
